Identifier,Archive Location,Publication Year,ARCGIS_Year,Heb_year,Original_Cal_Type,Author,Title,English_Title,Press,Press Adress,Place,Longitude,Latitude,Accurate,Language_Code,Book_URL,Notes,Thumbnail_Name,Thumbnail_Wiki_URL,Thumbnail_ImageURL,Wiki_URL,WorldCat_Genre,WorldCat_Subject_Tags,WorldCat_Description,WorldCat_Notes,Reason_skipped_subjectTag,Date_Added,Data_Mod,Pages,Rights,MARC2_Tags,Translator,OCLC_Number,Provenance
91,JA 0003,1888,01/01/1888,,,,Ekhah sharh Sefer Ekhah bi-leshon Arvi,Eichah with explanation in Arabic,,,Alexandria,31.2000924,29.9187387,,jrb,https://drive.google.com/open?id=11mDem3ZNz37PkV3eXiHjyyg3jpNR8GwQ,,JA0006,,https://drive.google.com/open?id=13CDWqVynF20GG4yWfSyxigweXHztRrmz,,,Bible; Lamentations; Commentaries,,,,,,,,,,,
191,RE 0032-0033,1944,1/1/44,,,"Cohen, Meir ben Saul",Emet le-Yaakov : emunat hakhamim u-mifalot ha-tsadikim ... musarim ... u-maasiyot ... ve-taanit ha-dibur,Emet leYaakov,Idan Kohen & Tsaban Hadad Press,,Djerba,33.8787981,10.850791,,jrb,,,JA0007-JA0008,,https://drive.google.com/open?id=1vqipNdq92bq1jyCeuVvycS_6Ha-i_NIP,,,Jewish; ethics,,,,,,,,,,,
216,JA 0051,1887,01/01/1887,,,"Flah, Chalom",Erets ha-Tsevi,The Land of Desire (Israel),Uzan & Kastro Press,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1ocD8KDy8SAS-Ye5eRzgKpPza668OddiA,,JA0009,,https://drive.google.com/open?id=1Qdf9Oklp_ped1QpAeCCjEg-2SkZgJVDb,,,Israel; Jewish-Arab; relations; Foreign ,,,,,,,,,,,
299,JA 0210,1929,1/1/29,,,"Tobrani, Yosef",Ester ha-malkah be-lashon Aravi ... zot matsanu bi-khetivat yad be-Teman,Queen Esther in Arabic: this is what we found handwritten in Yemen,Kakastan Press,,Aden,12.7854969,45.0186548,,jrb,https://drive.google.com/open?id=17H3RKA4BQOE8BuwCp_qcV4UHeJUKMRmf,,JA0010a,,https://drive.google.com/open?id=1dzWAfJ4PfDDZKrRO-mscZWxXkYVMzGpS,,,"Esther,; Queen; of; Persia; Bible; stories,; Judeo; Arabic; Esther; Old; Testament",,,,,,,,,,,
303,JA 0007-0008,1889,01/01/1889,,,"Tvina, Shelomoh",Ester im sharh ha-Arvi ha-meduberet ... : ve-im perush Maaseh ha-Shem,Esther with explanation in colloquial Arabic and commentary from Maaseh Hashem,,,Calcutta,22.572646,88.363895,,jrb,https://drive.google.com/open?id=1BeL7PfzO4zsrsRHjzf5fvEPK6HFtFnSf,,JA0010b,,https://drive.google.com/open?id=1qrB7rqxwb25HqgOOH9gRx59PUuhRI-IB,,,,,,,,,,,,,,
70,JA 0369,,01/01/1800,,,,Fadhlakat Guha al-kubr_ : al-kitab al-awwal,Collection of the Great Juha: the first book,Makhlouf Nadjar Press,,Sousse,35.8245029,10.634584,,jrb,https://drive.google.com/open?id=1jLxTT_yjjLt8dHyCMWn7xxMwcDuzrm3r,,JA0015a,,https://drive.google.com/open?id=1IJ7yuwvWwLmCsHAFasP35EUIKQONSkgF,,,,,,,,,,,,,,
68,JA 0364,,01/01/1800,,,,Fadhlakat khasail Guha wa-banuas,A Summary of the Virtues of Juha and Abu Nuwas,Yaakov Guedj Press,al-Daouletli 19,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1todM_lhk864TJY1-mX7ubHXZUHgf64DB,Georges Nacass also listed as publisher with address of Rue Sidi Khalaf? (Sidi Mahrez?) 4,JA0015b,,https://drive.google.com/open?id=1MSbBKOZpuFKBAvKShX3HOQrOW3HBIANu,,,,,,,,,,,,,,
69,JA 0364,,01/01/1800,,,,Fadhlakat khasail Guha wa-banuas,A Summary of the Virtues of Juha and Abu Nuwas,Yaakov Guedj Press,al-Daouletli 19,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1todM_lhk864TJY1-mX7ubHXZUHgf64DB,Georges Nacass also listed as publisher with address of Rue Sidi Khalaf? (Sidi Mahrez?) 4,JA0016,,https://drive.google.com/open?id=1wXPutafucTSnJ5z-G5vZ7nPzl9fSj_W4,,,,,,,,,,,,,,
249,PT 0234-0240,1914,1/1/14,,,"ibn, Pakuda Bahya ben Joseph",Faraid al-qulub : We-hu ... Torat hovat ha-levavot,Duties of the Heart,David Aydan Press,,Djerba,33.8787981,10.850791,,jrb,,,JA0018-JA0020,,https://drive.google.com/open?id=1fxcDGh3ZVWDSanFgpqBHIpwpeD2xR7_a,,,Jewish; ethics,,,,,,,,,,,
7,JA 0094,,01/01/1800,,,,Ghina'yat al-arabiya kitab al-thani; ghina'yat al-bahr bi-dahak li wa-ghina'yat ma naud shi maak,,Mordechai Uzan & Frere,,Tunis,36.8064948,10.1815316,,jrb,https://drive.google.com/open?id=1BTTLr8iVGdV22r6Lu9FRUtTJgMVWb3-o,,JA0021,,https://drive.google.com/open?id=1Kweu9jdPddMpnlpbkV9R_NAp6Y85gUJb,,,,,,,,,,,,,,
